sorting.id,FY,hyperlink,Department,titles,links,service,program,reserve.or.not,amended.or.not
15,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Shipbuilding and Conversion, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/SCN_book.PDF,Navy,Procurement.General,not.reserve,PBR.for.this.program.was.amended
16,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,Procurement Marine Corps,http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/PMC_book.PDF,Marine.Corps,Procurement.General,not.reserve,PBR.for.this.program.was.amended
17,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,National Defense Sealift Fund,http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/NDSF_book.PDF,NA,Procurement.General,not.reserve,PBR.for.this.program.was.amended
18,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Consolidated Spares and Repair Parts, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/SPARES_book.PDF,Navy,Procurement.General,not.reserve,PBR.for.this.program.was.amended
19,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Aircraft Procurement, BA 1-4",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/APN_BA_1-4_book.PDF,NA,Procurement.Aircraft,not.reserve,not.amended
20,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Aircraft Procurement, BA 5",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/APN_BA_5_book.PDF,NA,Procurement.Aircraft,not.reserve,not.amended
21,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Aircraft Procurement, BA 7",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/APN_BA_7_book.PDF,NA,Procurement.Aircraft,not.reserve,not.amended
22,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Other Procurement, BA 1",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/OPN_BA_1_book.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
23,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Other Procurement, BA 2",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/OPN_BA_2_book.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
24,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Other Procurement, BA 3",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/OPN_BA_3_book.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
25,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Other Procurement, BA 4",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/OPN_BA_4_book.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
26,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Other Procurement, BA 5 - 7",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/OPN_BA_5-7_book.PDF,NA,Procurement.Other,not.reserve,PBR.for.this.program.was.amended
27,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Procurement of Ammunition, Navy & Marine Corps (Vol 1)",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/PANMC_BA_1_book.PDF,Navy,Procurement.Ammunition,not.reserve,not.amended
28,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Procurement of Ammunition, Navy & Marine Corps (Vol 2)",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/proc/PANMC_BA_2_book.PDF,Navy,Procurement.Ammunition,not.reserve,not.amended
29,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Base Closure & Realignment, II",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/constr/BRAC_II_book.PDF,NA,BRAC,not.reserve,not.amended
30,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Base Closure & Realignment, III",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/constr/BRAC_III_book.PDF,NA,BRAC,not.reserve,not.amended
31,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Base Closure & Realignment, IV",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/constr/BRAC_IV_book.PDF,NA,BRAC,not.reserve,not.amended
32,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,Family Housing Construction,http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/constr/FHCON_book.PDF,NA,Military.Construction,not.reserve,PBR.for.this.program.was.amended
33,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,Military Construction & Family Housing Programs ,http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/constr/MCN_book.PDF,NA,Military.Construction,not.reserve,PBR.for.this.program.was.amended
34,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Military Construction, Navy & Marine Corps Reserve Programs",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/constr/MCNR_book.PDF,Navy,Military.Construction,reserve,PBR.for.this.program.was.amended
35,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Research & Development, Navy (BA 1 - 3)",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/rdten/RDTEN_BA_1-3_book.PDF,Navy,RDT.E,not.reserve,not.amended
36,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Research & Development, Navy (BA 4)",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/rdten/RDTEN_BA_4_book.PDF,Navy,RDT.E,not.reserve,not.amended
37,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Research & Development, Navy (BA 5)",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/rdten/RDTEN_BA_5_book.PDF,Navy,RDT.E,not.reserve,not.amended
38,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Research & Development, Navy (BA 6)",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/rdten/RDTEN_BA_6_book.PDF,Navy,RDT.E,not.reserve,not.amended
39,2002,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2002.aspx,Navy,"Research & Development, Navy (BA 7)",http://www.secnav.navy.mil/fmc/fmb/Documents/02pres/rdten/RDTEN_BA_7_book.PDF,Navy,RDT.E,not.reserve,not.amended
1,2003,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2003.aspx,Navy,FY03 Budget Overview to the Press,http://www.secnav.navy.mil/fmc/fmb/Documents/03pres/highbook/03press_brief.pdf,NA,summary.docs,not.reserve,PBR.for.this.program.was.amended
2,2003,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2003.aspx,Navy,Budget Highlights Book,http://www.secnav.navy.mil/fmc/fmb/Documents/03pres/highbook/highlights_book.pdf,NA,summary.docs,not.reserve,PBR.for.this.program.was.amended
3,2003,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2003.aspx,Navy,Office of Budget FY03 Databook,http://www.secnav.navy.mil/fmc/fmb/Documents/03pres/databook/databook.pdf,NA,summary.docs,not.reserve,PBR.for.this.program.was.amended
4,2003,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2003.aspx,Navy,"Military Personnel, Navy",http://www.secnav.navy.mil/fmc/fmb/Documents/03pres/pers/MPN_BOOK.pdf,Navy,Military.Personnel,not.reserve,PBR.for.this.program.was.amended
5,2003,http://www.secnav.navy.mil/fmc/fmb/Pages/Fiscal-Year-2003.aspx,Navy,"Military Personnel, Marine Corps",http://www.secnav.navy.mil/fmc/fmb/Documents/03pres/pers/MPMC_BOOK.pdf,Marine.Corps,Military.Personnel,not.reserve,PBR.for.this.program.was.amended
